Star,HD,RA,dec,Vmag,Vmagerr,par,parerr,source,teff,tefferr,logg,loggerr,logglc,logglcerr,vt,vterr,feh,feherr,mass,masserr,Author,link,flag,updated,Comment,tmp
Kepler-1406,,19 28 19.65,+38 54 54.1,,,0.8,0.16,GAIADR2,5892.0,58.0,4.36,0.1,,,,,0.04,0.09,1.05,0.1,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1407,,18 55 46.18,+41 28 17.8,,,0.69,0.03,GAIADR2,6010.0,156.0,4.36,0.12,,,,,0.05,0.14,1.1,0.13,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1408,,18 50 47.99,+45 25 32.8,,,1.84,0.02,GAIADR2,6017.0,60.0,4.12,0.1,,,,,-0.07,0.04,1.18,0.13,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 9070666
Kepler-1409,,19 20 20.35,+51 12 31.0,,,1.41,0.02,GAIADR2,5112.0,60.0,4.62,0.1,,,,,0.18,0.04,0.81,0.05,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 12405333
Kepler-141,,19 51 53.01,+47 43 54.04,,,3.29,0.01,GAIADR2,5019.0,60.0,4.54,0.1,,,,,0.33,0.04,0.83,0.05,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10552611
Kepler-1410,,19 22 02.45,+38 44 36.8,,,,,,4092.0,89.0,4.67,0.03,,,,,0.01,0.15,0.58,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,M1V,data from exoplanetarchive
Kepler-1411,,19 05 26.78,+42 57 50.1,,,0.57,0.03,GAIADR2,5664.0,68.0,4.49,0.08,,,,,-0.04,0.17,0.92,0.08,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1412,,19 28 43.23,+49 12 08.9,,,1.29,0.02,GAIADR2,5759.0,60.0,4.1,0.1,,,,,-0.03,0.04,1.11,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11403530
Kepler-1413,,19 37 22.00,+46 29 55.6,,,0.83,0.05,GAIADR2,5196.0,117.0,4.57,0.04,,,,,-0.05,0.17,0.8,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1414,,18 59 42.86,+42 25 20.3,,,1.72,0.02,GAIADR2,4951.0,75.0,4.59,0.03,,,,,-0.02,0.16,0.75,0.04,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1415,,19 00 37.66,+47 52 24.0,,,0.93,0.04,GAIADR2,5200.0,60.0,4.39,0.1,,,,,0.38,0.04,0.91,0.07,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10585738
Kepler-1416,,19 54 39.23,+43 53 38.7,,,1.02,0.02,GAIADR2,6019.0,302.0,4.35,0.16,,,,,0.03,0.14,1.11,0.17,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1417,,19 23 47.97,+40 36 18.8,,,0.98,0.02,GAIADR2,5693.0,60.0,4.07,0.1,,,,,-0.28,0.04,1.02,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 5445681
Kepler-1418,,18 51 59.39,+41 40 42.8,,,,,,4770.0,61.0,4.61,0.03,,,,,0.0,0.16,0.72,0.04,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1419,,19 29 01.11,+37 58 17.1,,,0.64,0.03,GAIADR2,5796.0,135.0,4.43,0.12,,,,,0.04,0.15,1.0,0.11,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-142,,19 40 28.54,+48 28 52.61,,,1.79,0.01,GAIADR2,5759.0,60.0,4.31,0.1,,,,,0.05,0.04,1.03,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10982872
Kepler-1420,,19 44 48.91,+42 46 40.2,,,0.92,0.05,GAIADR2,5187.0,189.0,4.57,0.05,,,,,-0.1,0.18,0.79,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1421,,19 06 19.34,+48 32 39.1,,,1.25,0.02,GAIADR2,6189.0,60.0,4.05,0.1,,,,,-0.06,0.04,1.31,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11019987
Kepler-1422,,19 35 33.64,+48 20 10.0,,,0.38,0.03,GAIADR2,6194.0,132.0,4.32,0.11,,,,,0.0,0.15,1.16,0.14,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1423,,19 12 58.51,+41 06 36.3,,,,,,4939.0,84.0,4.59,0.03,,,,,-0.02,0.16,0.75,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1424,,19 23 58.00,+40 13 45.6,,,1.21,0.11,GAIADR2,5878.0,60.0,4.44,0.1,,,,,0.06,0.04,1.02,0.09,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 5096590
Kepler-1425,,19 39 48.25,+43 00 44.8,,,1.13,0.02,GAIADR2,5477.0,60.0,4.02,0.1,,,,,-0.06,0.04,1.04,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 7455981
Kepler-1426,,19 30 10.98,+49 25 01.1,,,1.53,0.27,GAIADR2,5831.0,94.0,4.43,0.12,,,,,0.03,0.15,1.01,0.1,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1427,,19 41 23.92,+45 06 52.4,,,,,,5793.0,150.0,4.44,0.11,,,,,0.06,0.15,1.0,0.11,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1428,,19 50 34.14,+49 35 41.9,,,0.62,0.02,GAIADR2,6285.0,60.0,4.02,0.1,,,,,0.12,0.04,1.41,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11572193
Kepler-1429,,19 01 27.90,+49 02 41.5,,,0.79,0.02,GAIADR2,5902.0,72.0,4.4,0.13,,,,,0.04,0.15,1.04,0.11,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-143,,19 52 16.25,+49 24 45.38,,,1.21,0.02,GAIADR2,5801.0,60.0,4.18,0.1,,,,,-0.01,0.04,1.08,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11521793
Kepler-1430,,19 18 47.40,+43 22 19.5,,,2.07,0.17,GAIADR2,4796.0,53.0,4.62,0.02,,,,,-0.03,0.19,0.72,0.04,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1431,,19 30 38.01,+49 51 54.7,,,0.59,0.02,GAIADR2,5806.0,88.0,4.42,0.14,,,,,0.07,0.14,1.02,0.1,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1432,,19 42 05.80,+49 49 46.4,,,0.43,0.03,GAIADR2,6031.0,129.0,4.37,0.13,,,,,0.02,0.14,1.09,0.13,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1433,,19 09 27.19,+49 27 24.8,,,0.25,0.05,GAIADR2,6097.0,106.0,4.34,0.12,,,,,0.07,0.14,1.14,0.13,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1434,,19 42 09.21,+51 12 10.6,,,1.26,0.02,GAIADR2,6251.0,60.0,4.06,0.1,,,,,0.24,0.04,1.42,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 12416661
Kepler-1435,,19 24 41.59,+44 55 16.1,,,1.39,0.02,GAIADR2,6234.0,60.0,4.27,0.1,,,,,-0.14,0.04,1.15,0.12,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 8751796
Kepler-1436,,19 50 50.78,+46 46 04.9,,,0.37,0.02,GAIADR2,5972.0,157.0,4.39,0.14,,,,,-0.01,0.16,1.06,0.13,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1437,,19 27 27.58,+49 19 33.3,,,0.44,0.06,GAIADR2,5557.0,79.0,4.51,0.07,,,,,-0.02,0.15,0.9,0.08,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1438,,19 17 09.55,+40 40 54.0,,,0.84,0.04,GAIADR2,5530.0,61.0,4.46,0.12,,,,,0.2,0.15,0.95,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1439,,19 02 57.55,+40 58 48.1,,,4.41,0.05,GAIADR2,3578.0,53.0,4.83,0.04,,,,,-0.03,0.12,0.44,0.03,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,M1V,data from exoplanetarchive
Kepler-144,,18 47 39.76,+42 46 31.85,12.2,0.19,2.57,0.02,GAIADR2,6182.0,60.0,4.33,0.1,,,,,-0.13,0.04,1.1,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 7175184
Kepler-1440,,19 01 23.27,+48 18 44.1,,,0.87,0.02,GAIADR2,5653.0,60.0,4.01,0.1,,,,,0.22,0.04,1.22,0.14,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10908248
Kepler-1441,,19 34 52.59,+43 07 28.5,,,0.87,0.02,GAIADR2,5802.0,136.0,4.45,0.1,,,,,0.01,0.16,0.99,0.1,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1442,,19 25 01.34,+48 50 49.1,,,1.61,0.02,GAIADR2,6387.0,60.0,4.2,0.1,,,,,0.15,0.04,1.35,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11189311
Kepler-1443,,18 53 44.58,+47 04 00.7,11.73,0.18,1.66,0.06,GAIADR2,6343.0,60.0,4.48,0.1,,,,,-0.07,0.04,1.13,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10057494
Kepler-1444,,19 01 19.35,+42 02 25.6,,,3.1,0.02,GAIADR2,5875.0,60.0,4.57,0.1,,,,,0.21,0.04,1.04,0.09,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 6587796
Kepler-1445,,18 40 59.87,+43 54 54.2,,,1.95,0.03,GAIADR2,6077.0,60.0,4.29,0.1,,,,,-0.1,0.04,1.1,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 8073705
Kepler-1446,,19 17 41.75,+46 43 34.2,,,6.55,0.03,GAIADR2,4847.0,60.0,4.64,0.1,,,,,0.14,0.04,0.75,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 9885417
Kepler-1447,,19 18 34.43,+50 43 37.5,,,1.09,0.02,GAIADR2,5722.0,98.0,4.47,0.1,,,,,-0.03,0.16,0.95,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1448,,19 11 28.17,+50 35 44.1,,,1.27,0.02,GAIADR2,5774.0,78.0,4.49,0.08,,,,,-0.16,0.19,0.92,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1449,,19 12 55.62,+50 34 04.4,,,0.47,0.02,GAIADR2,5979.0,98.0,4.39,0.11,,,,,0.04,0.16,1.07,0.12,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-145,,19 25 33.06,+44 31 44.78,11.9,,1.74,0.03,GAIADR2,6110.0,60.0,4.04,0.1,,,,,0.06,0.04,1.32,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 8494142
Kepler-1450,,19 38 12.92,+45 04 53.0,,,1.95,0.03,GAIADR2,4524.0,99.0,4.63,0.03,,,,,-0.02,0.15,0.69,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1451,,19 33 47.14,+40 24 35.6,,,0.92,0.03,GAIADR2,5782.0,159.0,4.45,0.11,,,,,0.01,0.15,0.98,0.1,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1452,,19 29 41.48,+38 15 58.8,,,0.97,0.02,GAIADR2,6044.0,60.0,3.98,0.1,,,,,0.0,0.04,1.32,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 3120904
Kepler-1453,,19 04 30.13,+47 56 51.4,,,0.81,0.03,GAIADR2,5665.0,69.0,4.48,0.09,,,,,0.01,0.15,0.94,0.08,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1454,,18 56 53.60,+48 49 54.4,,,1.25,0.02,GAIADR2,5448.0,62.0,4.53,0.07,,,,,-0.02,0.16,0.87,0.07,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1455,,19 36 19.93,+50 30 10.0,,,2.77,0.04,GAIADR2,4075.0,59.0,4.68,0.03,,,,,-0.02,0.15,0.57,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,M0V,data from exoplanetarchive
Kepler-1456,,19 07 46.88,+43 49 22.0,,,2.67,0.03,GAIADR2,4231.0,77.0,4.67,0.04,,,,,-0.09,0.27,0.6,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1457,,18 55 04.94,+42 01 38.1,,,1.09,0.01,GAIADR2,5845.0,60.0,4.17,0.1,,,,,-0.12,0.04,1.07,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 6584273
Kepler-1458,,18 52 50.79,+41 02 17.0,,,1.81,0.02,GAIADR2,5413.0,60.0,4.62,0.1,,,,,0.05,0.04,0.86,0.06,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 5768816
Kepler-1459,,18 49 41.53,+46 00 50.5,,,2.17,0.02,GAIADR2,4828.0,41.0,4.61,0.03,,,,,0.01,0.16,0.73,0.04,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-146,,19 36 26.58,+38 42 36.82,,,1.37,0.02,GAIADR2,6000.0,60.0,4.41,0.1,,,,,0.08,0.04,1.08,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 3656121
Kepler-1460,,19 02 13.87,+44 00 38.8,,,1.78,0.03,GAIADR2,4422.0,44.0,4.64,0.03,,,,,-0.02,0.18,0.66,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1461,,19 03 19.31,+43 11 54.2,,,1.44,0.03,GAIADR2,4919.0,53.0,4.6,0.03,,,,,-0.04,0.17,0.74,0.04,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1462,,19 45 35.41,+42 23 48.9,,,0.96,0.05,GAIADR2,5756.0,175.0,4.45,0.12,,,,,0.06,0.14,0.99,0.11,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1463,,19 37 56.95,+42 00 24.9,,,0.57,0.03,GAIADR2,5679.0,109.0,4.47,0.1,,,,,0.0,0.17,0.94,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1464,,19 08 56.56,+38 45 15.0,,,0.84,0.02,GAIADR2,5845.0,60.0,4.06,0.1,,,,,0.01,0.04,1.18,0.13,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 3632089
Kepler-1465,,19 19 16.64,+51 54 17.5,,,2.76,0.08,GAIADR2,4726.0,68.0,4.62,0.03,,,,,-0.06,0.17,0.71,0.03,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1466,,19 19 19.49,+44 36 35.5,,,1.55,0.02,GAIADR2,5551.0,60.0,4.47,0.1,,,,,-0.43,0.04,0.82,0.05,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 8554701
Kepler-1467,,19 40 11.65,+45 20 33.7,,,1.14,0.03,GAIADR2,5332.0,176.0,4.55,0.06,,,,,-0.07,0.17,0.83,0.07,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1468,,19 34 04.76,+41 16 38.7,,,0.5,0.02,GAIADR2,5893.0,180.0,4.42,0.1,,,,,0.03,0.15,1.03,0.12,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1469,,19 35 17.13,+39 23 28.9,,,0.84,0.04,GAIADR2,5507.0,149.0,4.51,0.08,,,,,0.02,0.16,0.89,0.08,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-147,,19 11 54.18,+39 05 13.85,,,0.93,0.02,GAIADR2,5943.0,60.0,4.09,0.1,,,,,0.1,0.04,1.24,0.14,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 3942670
Kepler-1470,,19 14 46.80,+39 52 59.5,,,1.66,0.02,GAIADR2,4961.0,89.0,4.59,0.03,,,,,-0.01,0.15,0.75,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1471,,19 18 39.57,+50 01 12.2,,,0.99,0.03,GAIADR2,5660.0,95.0,4.48,0.09,,,,,-0.03,0.17,0.93,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1472,,19 39 24.64,+49 03 26.9,,,0.65,0.02,GAIADR2,6159.0,103.0,4.31,0.17,,,,,0.03,0.14,1.17,0.15,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1473,,19 22 32.78,+48 59 45.9,,,1.5,0.01,GAIADR2,5902.0,60.0,4.28,0.1,,,,,-0.02,0.04,1.07,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11241912
Kepler-1474,,19 38 46.57,+45 52 00.6,,,0.82,0.03,GAIADR2,5870.0,144.0,4.42,0.11,,,,,0.04,0.16,1.03,0.11,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1475,,19 43 47.59,+44 45 11.2,,,0.61,0.03,GAIADR2,6214.0,197.0,4.29,0.15,,,,,0.03,0.15,1.2,0.17,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1476,,18 58 07.70,+43 59 23.8,,,0.97,0.03,GAIADR2,5663.0,72.0,4.47,0.12,,,,,0.06,0.15,0.95,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1477,,18 45 11.65,+42 41 08.7,,,1.44,0.02,GAIADR2,5100.0,75.0,4.58,0.04,,,,,-0.06,0.16,0.77,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1478,,19 32 39.62,+41 44 46.4,,,0.51,0.03,GAIADR2,5904.0,120.0,4.41,0.13,,,,,0.03,0.16,1.04,0.12,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1479,,19 02 50.86,+49 42 24.0,,,1.34,0.02,GAIADR2,5713.0,60.0,4.22,0.1,,,,,-0.05,0.04,1.02,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11651712
Kepler-148,,19 19 8.69,+46 51 31.64,,,1.24,0.02,GAIADR2,5272.0,200.0,4.55,0.3,,,,,0.14,0.5,0.89,0.15,Rowe et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,2018-07-30,,Kepler-148
Kepler-1480,,19 27 59.95,+49 18 06.5,,,1.97,0.02,GAIADR2,5156.0,66.0,4.56,0.04,,,,,0.07,0.15,0.81,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1481,,19 17 45.35,+49 43 52.4,,,2.15,0.02,GAIADR2,4908.0,59.0,4.6,0.03,,,,,0.04,0.16,0.75,0.04,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1482,,19 01 15.31,+48 43 30.9,,,1.73,0.03,GAIADR2,5427.0,60.0,4.56,0.1,,,,,0.0,0.04,0.86,0.06,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11125797
Kepler-1483,,19 41 38.35,+42 09 03.0,,,0.76,0.02,GAIADR2,6337.0,216.0,4.24,0.19,,,,,0.04,0.15,1.3,0.22,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1484,,19 30 44.23,+38 07 34.6,,,0.33,0.1,GAIADR2,5730.0,165.0,4.49,0.08,,,,,-0.17,0.2,0.91,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1485,,19 52 22.90,+44 44 13.4,,,1.6,0.02,GAIADR2,5980.0,60.0,4.21,0.1,,,,,0.05,0.04,1.15,0.12,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 8644365
Kepler-1486,,19 22 21.69,+45 26 23.0,,,0.54,0.03,GAIADR2,5965.0,154.0,4.38,0.13,,,,,0.06,0.14,1.08,0.13,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1487,,19 41 59.55,+38 38 40.2,,,0.96,0.02,GAIADR2,6541.0,210.0,4.16,0.18,,,,,0.04,0.14,1.39,0.16,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1488,,19 06 35.14,+49 56 16.0,,,1.08,0.01,GAIADR2,5799.0,60.0,3.95,0.1,,,,,0.13,0.04,1.3,0.16,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11754430
Kepler-1489,,18 45 11.00,+44 27 55.5,,,0.75,0.02,GAIADR2,5655.0,70.0,4.51,0.08,,,,,-0.13,0.18,0.9,0.08,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-149,,19 03 24.88,+38 23 02.84,,,1.72,0.02,GAIADR2,5455.0,60.0,4.42,0.1,,,,,0.35,0.04,0.98,0.08,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 3217264
Kepler-1490,,19 42 46.46,+42 36 34.2,,,1.13,0.03,GAIADR2,5515.0,192.0,4.52,0.08,,,,,-0.08,0.17,0.87,0.08,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1491,,19 34 31.14,+45 44 26.3,,,0.46,0.03,GAIADR2,5728.0,99.0,4.45,0.11,,,,,0.06,0.14,0.98,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1492,,19 14 23.30,+41 02 11.1,,,2.99,0.02,GAIADR2,4712.0,63.0,4.62,0.02,,,,,0.06,0.16,0.72,0.04,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
