Star,HD,RA,dec,Vmag,Vmagerr,par,parerr,source,teff,tefferr,logg,loggerr,logglc,logglcerr,vt,vterr,feh,feherr,mass,masserr,Author,link,flag,updated,Comment,tmp
LP 358-499,,04 40 36.00,+25 00 36.00,14.0,0.15,,,Spec,3644.0,80.0,,,,,,,,,,,Wells et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1709.01025,0,2017-09-11,M1V,
MASCARA-1,201585,21 10 12.37,+10 44 19.95,8.3,,5.46,0.06,GAIADR2,7554.0,150.0,4.0,,,,,,0.0,,,,Talens et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1707.04262,0,2018-07-30,,
YZ Cet,,01 12 30.50,-16 59 56.00,12.07,,271.01,8.36,Simbad,3056.0,60.0,,,,,,,-0.26,0.08,,,Astudillo-Defru et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1708.03336,0,2017-09-11,M4.5,
tau Cet,10700,01 44 4.010,-15 56 15.00,3.5,,273.96,0.17,Simbad,5310.0,17.0,4.46,0.03,,,0.55,0.04,-0.52,0.01,0.76,0.04,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
K2-137,,12 27 28.97,-06 11 42.81,15.5,0.05,10.09,0.06,GAIADR2,3492.0,70.0,4.82,0.04,,,,,0.08,0.12,0.44,0.04,Smith et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1707.04549,0,2018-07-30,M3,EPIC 228813918
K2-110,,13 49 23.89,-12 17 4.160,11.91,0.07,8.56,0.03,GAIADR2,4960.0,60.0,4.58,0.13,,,0.57,0.17,-0.34,0.03,0.72,0.03,Osborn et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.04291,1,2018-07-30,,EPIC 212521166
GJ 3942,,16 09 03.00,+52 56 38.00,10.0,0.04,58.95,0.25,Simbad,3867.0,69.0,4.65,0.06,,,,,-0.04,0.09,0.52,0.04,Perger et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1709.06851,0,2018-07-30,M0,
KELT-19 A,,07 26 03.00,+07 36 57.00,9.9,0.04,,,Spec,7500.0,110.0,4.13,0.03,,,,,-0.12,0.51,1.63,0.24,Siverd et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1709.07010,0,2018-07-30,,
EPIC 201128338,,12 06 31.87,-05 49 38.68,,,9.19,0.03,GAIADR2,3940.0,70.0,4.66,0.05,,,,,0.09,0.12,0.55,0.04,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,M0,
EPIC 201598502,,12 15 14.21,+02 01 15.43,,,6.96,0.04,GAIADR2,3720.0,70.0,4.76,0.04,,,,,-0.26,0.12,0.45,0.04,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,M3,
