intake_index,animal_id,name,datetime,monthyear,found_location,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color,los,outcome_index,outcome_animal_id,outcome_name,outcome_datetime,outcome_monthyear,outcome_date_of_birth,outcome_type,outcome_subtype,outcome_animal_type,sex_upon_outcome,age_upon_outcome,outcome_breed,outcome_color,days_old,species
128,A726861,*Utah,05/15/2016 02:30:00 PM,05/15/2016 02:30:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Tan,27,29984,A726861,*Utah,06/11/2016 04:39:00 PM,06/11/2016 04:39:00 PM,05/15/2015,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Tan,366,Cat
129,A728524,*Pickle,06/05/2016 12:32:00 PM,06/05/2016 12:32:00 PM,13424 Clara Martin in Travis (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Medium Hair Mix,Brown,5,43908,A728524,*Pickle,06/10/2016 02:28:00 PM,06/10/2016 02:28:00 PM,06/05/2015,Adoption,,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Brown,366,Cat
130,A709866,Nala,08/14/2015 11:42:00 AM,08/14/2015 11:42:00 AM,Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Tan,10,21977,A709866,Nala,08/25/2015 11:17:00 AM,08/25/2015 11:17:00 AM,02/14/2014,Return to Owner,,Dog,Intact Female,1 year,Labrador Retriever Mix,Tan,546,Dog
131,A711491,,09/07/2015 02:26:00 PM,09/07/2015 02:26:00 PM,973 & 183 in Travis (TX),Stray,Normal,Puppy,Intact Male,1 month,Plott Hound Mix,Brown/Black,6,69731,A711491,,09/14/2015 01:36:00 PM,09/14/2015 01:36:00 PM,07/23/2015,Transfer,Partner,Dog,Intact Male,1 month,Plott Hound Mix,Brown/Black,46,Dog
132,A774294,,06/13/2018 12:37:00 PM,06/13/2018 12:37:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Kitten,Intact Female,1 month,Domestic Shorthair Mix,Black,20,44512,A774294,,07/03/2018 03:48:00 PM,07/03/2018 03:48:00 PM,04/15/2018,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,59,Cat
133,A712594,,09/25/2015 02:33:00 PM,09/25/2015 02:33:00 PM,124 W Anderson Ln in Austin (TX),Stray,Nursing,Kitten,Intact Female,2 days,Domestic Shorthair Mix,Calico,0,27634,A712594,,09/25/2015 04:00:00 PM,09/25/2015 04:00:00 PM,09/23/2015,Transfer,Partner,Cat,Intact Female,2 days,Domestic Shorthair Mix,Calico,2,Cat
134,A763815,,12/16/2017 12:27:00 PM,12/16/2017 12:27:00 PM,9505 Bear Paw Trl in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Miniature Poodle Mix,White,6,2549,A763815,,12/22/2017 04:20:00 PM,12/22/2017 04:20:00 PM,12/16/2013,Adoption,,Dog,Neutered Male,4 years,Miniature Poodle Mix,White,1461,Dog
135,A749169,Banana Joe,05/11/2017 06:21:00 PM,05/11/2017 06:21:00 PM,S Lexington St & E Parsons St in Manor (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Poodle Mix,Tan/White,3,42964,A749169,Banana Joe,05/15/2017 03:28:00 PM,05/15/2017 03:28:00 PM,05/11/2016,Transfer,Partner,Dog,Neutered Male,1 year,Miniature Poodle Mix,Tan/White,365,Dog
136,A715799,,11/10/2015 11:57:00 AM,11/10/2015 11:57:00 AM,2510 Lehigh Dr in Austin (TX),Stray,Normal,Kitten,Intact Female,4 weeks,Domestic Shorthair Mix,Black,0,83564,A715799,,11/11/2015 11:39:00 AM,11/11/2015 11:39:00 AM,10/10/2015,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black,31,Cat
137,A753451,Faith,03/16/2018 02:51:00 PM,03/16/2018 02:51:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Border Collie Mix,Black/White,1,47867,A753451,Faith,03/17/2018 04:50:00 PM,03/17/2018 04:50:00 PM,01/06/2017,Adoption,,Dog,Spayed Female,1 year,Border Collie Mix,Black/White,434,Dog
138,A767098,,02/23/2018 02:12:00 PM,02/23/2018 02:12:00 PM,1701 Lohmans Crossing in Travis (TX),Wildlife,Sick,Other,Unknown,6 months,Bat Mix,Brown/Brown,1,4063,A767098,,02/25/2018 10:12:00 AM,02/25/2018 10:12:00 AM,08/23/2017,Euthanasia,Rabies Risk,Other,Unknown,6 months,Bat Mix,Brown/Brown,184,Other
139,A751008,Moon,06/03/2017 12:20:00 PM,06/03/2017 12:20:00 PM,3404 Socorro in Austin (TX),Stray,Normal,Kitten,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White,106,63026,A751008,Moon,09/17/2017 03:28:00 PM,09/17/2017 03:28:00 PM,05/12/2017,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White,22,Cat
