,Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
12,A786370,"2020 OXFORD AVENUE
AUSTIN 78704
(30.250265, -97.770632)",No (contact for more info),12/22/2018,Cat,Domestic Shorthair Mix,Brown Tabby/White,Unknown,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786370
13,A749505,"8528 PUTMAN
AUSTIN 78757",Yes (come to the shelter),12/22/2018,Dog,Chihuahua Shorthair Mix,Tan/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A749505
14,A786379,"RIVERSIDE DRIVE
AUSTIN 78741",Yes (come to the shelter),12/23/2018,Dog,Akita Mix,Tan/Black,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786379
15,A786382,"11551 MAHA LOOP
AUSTIN 78719
(30.096687, -97.684097)",No (contact for more info),12/23/2018,Dog,Australian Shepherd Mix,Chocolate/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786382
16,A786383,"11551 MAHA LOOP
AUSTIN 78719
(30.096687, -97.684097)",No (contact for more info),12/23/2018,Dog,Australian Shepherd Mix,Black/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786383
17,A786376,"11551 MAHA LOOP
AUSTIN 78719
(30.096687, -97.684097)",No (contact for more info),12/23/2018,Dog,Australian Shepherd Mix,White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786376
18,A786378,"11551 MAHA LOOP
AUSTIN 78719
(30.096687, -97.684097)",No (contact for more info),12/23/2018,Dog,Australian Shepherd Mix,Tan/Black,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786378
19,A786380,"11551 MAHA LOOP
AUSTIN 78719
(30.096687, -97.684097)",No (contact for more info),12/23/2018,Dog,Australian Shepherd Mix,Tricolor,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786380
20,A786381,"11551 MAHA LOOP
AUSTIN 78719
(30.096687, -97.684097)",No (contact for more info),12/23/2018,Dog,Australian Shepherd Mix,Sable/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786381
21,A786387,"2262 ANDREW ZILKER ROAD
AUSTIN 78746
(30.266081, -97.773451)",No (contact for more info),12/23/2018,Dog,Labrador Retriever Mix,Black/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786387
22,A786388,"12304 DESSAU ROAD
AUSTIN 78753",No (contact for more info),12/23/2018,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786388
23,A786390,"PANORAMA COURT
DEL VALLE 78617",Yes (come to the shelter),12/23/2018,Dog,Rottweiler,Red/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786390
24,A786391,"78702(30.264271, -97.71608)",Yes (come to the shelter),12/23/2018,Dog,Pit Bull Mix,Brown Brindle/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786391
25,A786392,"7469 SPIVEY DRIVE
AUSTIN 78749
(30.220273, -97.860182)",No (contact for more info),12/23/2018,Dog,Labrador Retriever Mix,Tan/White,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786392
26,A786398,"7601 DAFFAN LANE
AUSTIN 78724
(30.316965, -97.623758)",Yes (come to the shelter),12/23/2018,Dog,Siberian Husky Mix,Black/White,Intact Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786398
27,A786399,"16000 DECKER LAKE ROAD
AUSTIN 78653
(30.26298, -97.56487)",Yes (come to the shelter),12/23/2018,Cat,Domestic Longhair Mix,White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786399
28,A786396,"1156 WEST CESAR CHAVEZ STREET
AUSTIN 78703
(30.268929, -97.760472)",Yes (come to the shelter),12/23/2018,Cat,Domestic Shorthair Mix,Black/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786396
29,A786400,"13553 RESEARCH BOULEVARD NORTHBOUND SERVICE ROAD
AUSTIN 78750",Yes (come to the shelter),12/23/2018,Cat,Domestic Medium Hair Mix,Chocolate,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786400
30,A786407,"5732 ABILENE TRAIL
AUSTIN 78749
(30.222126, -97.863318)",No (contact for more info),12/23/2018,Cat,Domestic Longhair Mix,Black,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786407
31,A786384,"11551 MAHA LOOP
AUSTIN 78719
(30.096687, -97.684097)",No (contact for more info),12/23/2018,Dog,Australian Shepherd Mix,Black/Tan,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786384
